path,dataset,size_bytes,git_blob_sha,sha256,origin_repository,origin_commit,owner,content_category,disposition
components/afe_xmodel/algorithm/person_data/afdb/1.0.0/00735.atr,afdb,36,54e8d1ecdb088effa053f846b3b4742e6916e2af,7af0f263a195c9637cb8e125c697d99484a9e6f79646a599e6f7e443e02d2af1,https://github.com/Hwan-22/ECG-SoC,4756a5086023547328ef44fd5fd87da3c250dc39,이수환,third-party raw dataset distribution file,remove from Git history; restore through fixed-version PhysioNet fetch
components/afe_xmodel/algorithm/person_data/afdb/1.0.0/00735.hea,afdb,15,ca52de352bd61298129b11c191bbeac2726b1d9e,0883ded310ad2df6a9932521bd89e384ef8aa60addd0a15e1d62ab747b1efbaf,https://github.com/Hwan-22/ECG-SoC,4756a5086023547328ef44fd5fd87da3c250dc39,이수환,third-party raw dataset distribution file,remove from Git history; restore through fixed-version PhysioNet fetch
components/afe_xmodel/algorithm/person_data/afdb/1.0.0/00735.qrs,afdb,80468,11acb3e235c4d96f578c564011ce2b54d6640452,73b9d34fa5cbfa2bd44cdb63b82c82d1972a6047ee9289b19c8c2c9e32565575,https://github.com/Hwan-22/ECG-SoC,4756a5086023547328ef44fd5fd87da3c250dc39,이수환,third-party raw dataset distribution file,remove from Git history; restore through fixed-version PhysioNet fetch
components/afe_xmodel/algorithm/person_data/afdb/1.0.0/03665.atr,afdb,204,4ffb55e10484e14201d4bc201150597251e94d93,cb51f1277383ff111f0485dd9ea0f6db94266a68c50be52385647c1e473614dd,https://github.com/Hwan-22/ECG-SoC,4756a5086023547328ef44fd5fd87da3c250dc39,이수환,third-party raw dataset distribution file,remove from Git history; restore through fixed-version PhysioNet fetch
components/afe_xmodel/algorithm/person_data/afdb/1.0.0/03665.hea,afdb,15,4746fb49bcad032735b22784b00bd604ae3c764d,543ac7a086afac65cd3e8ee69b544168f1be954669a8d14051f21dc7b8a27e59,https://github.com/Hwan-22/ECG-SoC,4756a5086023547328ef44fd5fd87da3c250dc39,이수환,third-party raw dataset distribution file,remove from Git history; restore through fixed-version PhysioNet fetch
components/afe_xmodel/algorithm/person_data/afdb/1.0.0/03665.qrs,afdb,105532,706a51fa0ed833fe7a90f9d870c455d23419a227,704eaa5f65494a6d21f9e95a917d24418c73bbd9809eae11b505aa31144ef618,https://github.com/Hwan-22/ECG-SoC,4756a5086023547328ef44fd5fd87da3c250dc39,이수환,third-party raw dataset distribution file,remove from Git history; restore through fixed-version PhysioNet fetch
components/afe_xmodel/algorithm/person_data/afdb/1.0.0/04015.atr,afdb,198,f52fbbacdb4a6bd95ebb61e5c3e49089b1ca163e,ea11d47f1a52422939eadb46c544b1ae42c2111afbe1fd14afd43f4469fa2c8d,https://github.com/Hwan-22/ECG-SoC,4756a5086023547328ef44fd5fd87da3c250dc39,이수환,third-party raw dataset distribution file,remove from Git history; restore through fixed-version PhysioNet fetch
components/afe_xmodel/algorithm/person_data/afdb/1.0.0/04015.dat,afdb,27617280,d6edac23bfc323fae519d44da14d42bd1c294554,4ad116853bd565e58926cbde9f4370c59c5aa91333fad860cee1a8ebd9653f49,https://github.com/Hwan-22/ECG-SoC,4756a5086023547328ef44fd5fd87da3c250dc39,이수환,third-party raw dataset distribution file,remove from Git history; restore through fixed-version PhysioNet fetch
components/afe_xmodel/algorithm/person_data/afdb/1.0.0/04015.hea,afdb,110,a33996305444bf98c0654ceda7d0ac8c1c3e0c2c,71bc68d08d79f6e18d6097a039fe5bf8965192ab9456e6458eb7e8d217d97297,https://github.com/Hwan-22/ECG-SoC,4756a5086023547328ef44fd5fd87da3c250dc39,이수환,third-party raw dataset distribution file,remove from Git history; restore through fixed-version PhysioNet fetch
components/afe_xmodel/algorithm/person_data/afdb/1.0.0/04015.hea-,afdb,101,9c57579797f6fa682cb2c78d5284d192e9185e90,42920c6387784c882db375b6d0d77a7ef693110623ef68d5f6a4d64f6b98d274,https://github.com/Hwan-22/ECG-SoC,4756a5086023547328ef44fd5fd87da3c250dc39,이수환,third-party raw dataset distribution file,remove from Git history; restore through fixed-version PhysioNet fetch
