path,size_bytes,Git blob SHA,origin repository,origin commit,owner,content category,retain_or_remove,rationale,replacement artifact,evidence affected
components/afe_xmodel/algorithm/person_data/chfdb/1.0.0/chf03.dat,53996544,a75b178c921c70624c4987b3c80b7bfad1225b1d,https://github.com/Hwan-22/ECG-SoC,4756a5086023547328ef44fd5fd87da3c250dc39,이수환,third-party raw dataset,REMOVE_FROM_HISTORY,authoritative fixed-version source is reproducibly fetchable,datasets/dataset_manifest.yaml + SHA256SUMS_EXPECTED.txt,raw source availability only; derived evidence retained
components/afe_xmodel/algorithm/person_data/chfdb/1.0.0/chf04.dat,53996544,d73a3406635eade8ce1e25250f00b8f1d96f6914,https://github.com/Hwan-22/ECG-SoC,4756a5086023547328ef44fd5fd87da3c250dc39,이수환,third-party raw dataset,REMOVE_FROM_HISTORY,authoritative fixed-version source is reproducibly fetchable,datasets/dataset_manifest.yaml + SHA256SUMS_EXPECTED.txt,raw source availability only; derived evidence retained
components/afe_xmodel/algorithm/person_data/chfdb/1.0.0/chf07.dat,53996544,88ac9026a067d459e60bb4a35895f13a7acd602e,https://github.com/Hwan-22/ECG-SoC,4756a5086023547328ef44fd5fd87da3c250dc39,이수환,third-party raw dataset,REMOVE_FROM_HISTORY,authoritative fixed-version source is reproducibly fetchable,datasets/dataset_manifest.yaml + SHA256SUMS_EXPECTED.txt,raw source availability only; derived evidence retained
components/afe_xmodel/algorithm/person_data/chfdb/1.0.0/chf08.dat,53996544,0de9f118c318206a16f78e5270e5cf5fa0cce5c9,https://github.com/Hwan-22/ECG-SoC,4756a5086023547328ef44fd5fd87da3c250dc39,이수환,third-party raw dataset,REMOVE_FROM_HISTORY,authoritative fixed-version source is reproducibly fetchable,datasets/dataset_manifest.yaml + SHA256SUMS_EXPECTED.txt,raw source availability only; derived evidence retained
components/afe_xmodel/algorithm/person_data/chfdb/1.0.0/chf11.dat,53996544,40dc9e7a9d0bf715e005934dd0088a1d5325b8c4,https://github.com/Hwan-22/ECG-SoC,4756a5086023547328ef44fd5fd87da3c250dc39,이수환,third-party raw dataset,REMOVE_FROM_HISTORY,authoritative fixed-version source is reproducibly fetchable,datasets/dataset_manifest.yaml + SHA256SUMS_EXPECTED.txt,raw source availability only; derived evidence retained
components/afe_xmodel/algorithm/person_data/chfdb/1.0.0/chf14.dat,53996544,0688ced840e39db1589cf524eb72bbfaea7bf218,https://github.com/Hwan-22/ECG-SoC,4756a5086023547328ef44fd5fd87da3c250dc39,이수환,third-party raw dataset,REMOVE_FROM_HISTORY,authoritative fixed-version source is reproducibly fetchable,datasets/dataset_manifest.yaml + SHA256SUMS_EXPECTED.txt,raw source availability only; derived evidence retained
components/afe_xmodel/algorithm/person_data/chfdb/1.0.0/chf13.dat,53990082,33922af1079d6698154a9ecdd1aaaba8bc7e2a46,https://github.com/Hwan-22/ECG-SoC,4756a5086023547328ef44fd5fd87da3c250dc39,이수환,third-party raw dataset,REMOVE_FROM_HISTORY,authoritative fixed-version source is reproducibly fetchable,datasets/dataset_manifest.yaml + SHA256SUMS_EXPECTED.txt,raw source availability only; derived evidence retained
components/afe_xmodel/algorithm/person_data/chfdb/1.0.0/chf10.dat,53987133,12957264731557412d0734c5ce7bd7a9cce52bb2,https://github.com/Hwan-22/ECG-SoC,4756a5086023547328ef44fd5fd87da3c250dc39,이수환,third-party raw dataset,REMOVE_FROM_HISTORY,authoritative fixed-version source is reproducibly fetchable,datasets/dataset_manifest.yaml + SHA256SUMS_EXPECTED.txt,raw source availability only; derived evidence retained
components/afe_xmodel/algorithm/person_data/chfdb/1.0.0/chf01.dat,53983473,18d17985dead2285c5d1ba5ac638c920b3cd1228,https://github.com/Hwan-22/ECG-SoC,4756a5086023547328ef44fd5fd87da3c250dc39,이수환,third-party raw dataset,REMOVE_FROM_HISTORY,authoritative fixed-version source is reproducibly fetchable,datasets/dataset_manifest.yaml + SHA256SUMS_EXPECTED.txt,raw source availability only; derived evidence retained
components/afe_xmodel/algorithm/person_data/chfdb/1.0.0/chf15.dat,53980329,893a2b1d28b85c6d8884896d78022a41f062cf8c,https://github.com/Hwan-22/ECG-SoC,4756a5086023547328ef44fd5fd87da3c250dc39,이수환,third-party raw dataset,REMOVE_FROM_HISTORY,authoritative fixed-version source is reproducibly fetchable,datasets/dataset_manifest.yaml + SHA256SUMS_EXPECTED.txt,raw source availability only; derived evidence retained
components/afe_xmodel/algorithm/person_data/chfdb/1.0.0/chf12.dat,53526528,56b6adce214e7d121bc30c3d14d0f4114da0f77b,https://github.com/Hwan-22/ECG-SoC,4756a5086023547328ef44fd5fd87da3c250dc39,이수환,third-party raw dataset,REMOVE_FROM_HISTORY,authoritative fixed-version source is reproducibly fetchable,datasets/dataset_manifest.yaml + SHA256SUMS_EXPECTED.txt,raw source availability only; derived evidence retained
